"",page_title,rev_id,timestamp,user,is_bot,delta,perplexity,burstiness,mean_dep_depth,clause_ratio,voice_ratio,fre,fog,chars_per_sent,sents_per_para,nTTR,word_density,avg_line_len,citation_delta
0,Python (programming language),1119030317,2022-10-30 09:49:17+00:00,ClueBot NG,False,-0.000100,667.040649,0.051431,4.586820,0.706070,0.984669,40.621798,15.464679,158.367412,313,7.468467,0.334830,49876.0,0.026361
1,Python (programming language),1124586616,2022-11-29 13:24:13+00:00,ClueBot NG,False,-0.000100,667.040649,0.051431,4.577200,0.694969,0.984666,40.678934,15.379264,157.333333,318,7.468467,0.331718,50344.0,0.026110
2,Python (programming language),1130275184,2022-12-29 11:33:07+00:00,Lemonaka,False,-0.000100,667.040649,0.051431,4.577200,0.694969,0.984666,40.678934,15.379264,157.333333,318,7.468467,0.331718,50344.0,0.026110
3,Python (programming language),1136493577,2023-01-30 16:06:17+00:00,Comp.arch,False,-0.000100,681.641052,0.051431,4.512947,0.713826,0.984958,40.597908,15.439650,158.347267,311,7.513188,0.339045,49551.0,0.025933
4,Python (programming language),1140647220,2023-02-21 02:12:18+00:00,Tdmurlock,False,-0.000100,699.940186,0.051431,4.509015,0.708333,0.984975,40.577083,15.449660,158.000000,312,7.557910,0.340712,49602.0,0.025914
5,Python (programming language),1145862507,2023-03-21 11:50:34+00:00,Comp.arch,False,-0.000100,699.940186,0.051431,4.510000,0.700965,0.985054,40.607090,15.440363,158.180064,311,7.557910,0.341421,49499.0,0.025844
6,Python (programming language),1147632985,2023-04-01 05:42:17+00:00,Jerryobject,False,-0.000100,642.774292,0.051431,4.509829,0.700965,0.985068,40.597418,15.445099,158.305466,311,7.513188,0.339134,49538.0,0.026477
7,Python (programming language),1156406971,2023-05-22 18:12:51+00:00,Akeosnhaoe,False,-0.000100,652.761414,0.051431,4.473227,0.702532,0.985155,40.868505,15.364994,157.585443,316,7.423746,0.331298,50106.0,0.026307
8,Python (programming language),1161338904,2023-06-22 02:50:31+00:00,Niceguyedc,False,-0.000100,714.512817,0.477056,4.468790,0.700315,0.985083,40.878458,15.366767,157.410095,317,7.379024,0.328626,50209.0,0.026079
9,Python (programming language),1167934707,2023-07-30 19:10:36+00:00,Denziloe,False,-0.000100,698.112244,0.477056,4.467259,0.698113,0.984978,40.879357,15.354292,157.000000,318,7.334303,0.326453,50237.0,0.026073
10,Python (programming language),1172797601,2023-08-29 11:06:33+00:00,AdaHephais,False,-0.000100,790.708069,0.477056,4.444898,0.686335,0.984915,41.028494,15.268393,156.503106,322,7.200139,0.317498,50709.0,0.026139
11,Python (programming language),1177561850,2023-09-28 04:53:35+00:00,HeyElliott,False,-0.000100,790.708069,0.477056,4.418912,0.699387,0.984412,41.196508,15.234422,156.825153,326,7.200139,0.312962,51444.0,0.025973
12,Python (programming language),1180741065,2023-10-18 14:55:11+00:00,Cyrii42,False,-0.000100,898.263672,0.477056,4.350055,0.693215,0.984348,41.931457,15.005139,155.174041,339,7.155418,0.302252,52936.0,0.025412
13,Machine learning,1118096658,2022-10-25 05:16:37+00:00,78.49.20.129,False,0.000019,186.783630,1.069177,3.560096,0.825581,0.985368,24.227361,18.058870,163.389535,344,6.976532,0.275872,56548.0,0.013444
14,Machine learning,1124653955,2022-11-29 20:57:45+00:00,North8000,False,0.000016,193.023819,1.069177,3.531727,0.831909,0.985662,24.022720,18.178234,164.578348,351,7.021253,0.270149,58116.0,0.013278
15,Machine learning,1130509619,2022-12-30 14:23:32+00:00,Sangak,False,0.000015,193.023819,1.069177,3.526353,0.832861,0.985635,24.000530,18.167904,164.566572,353,7.021253,0.268638,58443.0,0.013323
16,Machine learning,1136021171,2023-01-28 07:51:01+00:00,Extraordinary Writ,False,0.000130,193.023819,1.069177,3.520235,0.832861,0.985633,24.004166,18.167956,164.558074,353,7.021253,0.268652,58440.0,0.013070
17,Machine learning,1141322403,2023-02-24 13:32:46+00:00,Zac67,False,0.000130,196.717987,1.110434,3.519887,0.832861,0.985629,23.988160,18.168008,164.552408,353,7.021253,0.268661,58438.0,0.013068
18,Machine learning,1146947414,2023-03-27 22:50:47+00:00,Smmgeek,False,0.000134,196.717987,1.110434,3.520637,0.830946,0.985524,23.567371,18.210187,164.515759,349,7.021253,0.271800,57763.0,0.012528
19,Machine learning,1152320373,2023-04-29 14:31:03+00:00,Dgpop,False,0.000134,228.653687,1.468528,3.531974,0.836207,0.985686,23.638196,18.214828,164.580460,348,6.752925,0.262062,57620.0,0.012667
